name,id,name_type,class,mass,fall,year,lat,long,geolocation
Adhi Kot,379,Valid,EH4,4239,Fell,1919,32.1,71.8,"(32.1, 71.8)"
Akaba,426,Valid,L6,779,Fell,1949,29.51667,35.05,"(29.51667, 35.05)"
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,2002,45.82133,6.01533,"(45.82133, 6.01533)"
Asco,2345,Valid,H6,41,Fell,1805,42.45,9.03333,"(42.45, 9.03333)"
Atemajac,4884,Valid,L6,94.2,Fell,1896,20.06667,-103.66667,"(20.06667, -103.66667)"
Athens,4885,Valid,LL6,265,Fell,1933,34.75,-87,"(34.75, -87.0)"
Atoka,4888,Valid,L6,1384.2,Fell,1945,34.31667,-96.15,"(34.31667, -96.15)"
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322,Fell,1934,28.48333,78.5,"(28.48333, 78.5)"
Baldwyn,4926,Valid,L6,345,Fell,1922,34.5,-88.66667,"(34.5, -88.66667)"
Banswal,4937,Valid,L5,14,Fell,1913,30.4,78.2,"(30.4, 78.2)"
Banten,4938,Valid,CM2,629,Fell,1933,-6.33333,106,"(-6.33333, 106.0)"
Barnaul,4947,Valid,H5,23.2,Fell,1904,52.73333,84.08333,"(52.73333, 84.08333)"
Bawku,4976,Valid,LL5,1557,Fell,1989,11.08333,-0.18333,"(11.08333, -0.18333)"
Baxter,4977,Valid,L6,611,Fell,1916,36.75,-93.5,"(36.75, -93.5)"
Beddgelert,4993,Valid,H5,794,Fell,1949,53.01667,-4.1,"(53.01667, -4.1)"
Bells,5005,Valid,C2-ung,375,Fell,1961,33.6,-96.46667,"(33.6, -96.46667)"
Benld,5021,Valid,H6,1770.5,Fell,1938,39.08333,-89.15,"(39.08333, -89.15)"
Bethlehem,5032,Valid,H,13.9,Fell,1859,42.53333,-73.83333,"(42.53333, -73.83333)"
Bhagur,5037,Valid,L6,18,Fell,1877,20.88333,74.83333,"(20.88333, 74.83333)"
Bhawad,36591,Valid,LL6,678,Fell,2002,26.50833,73.11528,"(26.50833, 73.11528)"
Binningup,5051,Valid,H5,488.1,Fell,1984,-33.15639,115.67639,"(-33.15639, 115.67639)"
Black Moshannan Park,5065,Valid,L5,705,Fell,1941,40.91667,-78.08333,"(40.91667, -78.08333)"
Blackwell,5068,Valid,L5,2381,Fell,1906,36.83333,-97.33333,"(36.83333, -97.33333)"
Bloomington,5076,Valid,LL6,67.8,Fell,1938,40.48,-89.00417,"(40.48, -89.00417)"
Botschetschki,5117,Valid,L4,614,Fell,1823,51.33333,33.88333,"(51.33333, 33.88333)"
Boumdeid (2011),57167,Valid,L6,3599,Fell,2011,17.17493,-11.34133,"(17.17493, -11.34133)"
Bradford Woods,5128,Valid,L,762,Fell,1886,40.5,-80.08333,"(40.5, -80.08333)"
Bunburra Rockhole,48653,Valid,Eucrite,324,Fell,2007,-31.35,129.19,"(-31.35, 129.19)"
Bununu,5165,Valid,Howardite,357,Fell,1942,10.01667,9.58333,"(10.01667, 9.58333)"
Cacak,5187,Valid,OC,212,Fell,1919,43.83889,20.33333,"(43.83889, 20.33333)"
Cali,45976,Valid,H/L4,478,Fell,2007,3.405,-76.51,"(3.405, -76.51)"
Cañellas,5251,Valid,H4,945,Fell,1861,41.25,1.66667,"(41.25, 1.66667)"
Carancas,45817,Valid,H4-5,342,Fell,2007,-16.66444,-69.04389,"(-16.66444, -69.04389)"
Caratash,5265,Valid,LL6,8,Fell,1902,38.5,27,"(38.5, 27.0)"
Castine,5293,Valid,L6,94,Fell,1848,44.38333,-68.75,"(44.38333, -68.75)"
Ceniceros,5306,Valid,L3.7,1025,Fell,1988,26.46667,-105.23333,"(26.46667, -105.23333)"
Centerville,5307,Valid,H5,45.6,Fell,1956,43.2,-96.91667,"(43.2, -96.91667)"
Chail,5314,Valid,H6,0.5,Fell,1814,25.36667,81.66667,"(25.36667, 81.66667)"
Chaves,5334,Valid,Howardite,2945,Fell,1925,41.93333,-7.46667,"(41.93333, -7.46667)"
Chela,5338,Valid,H4,2936,Fell,1988,-3.66667,32.5,"(-3.66667, 32.5)"
Chervettaz,5341,Valid,L5,705,Fell,1901,46.55,6.81667,"(46.55, 6.81667)"
Chiang Khan,5345,Valid,H6,367,Fell,1981,17.9,101.63333,"(17.9, 101.63333)"
Chicora,5349,Valid,LL6,303,Fell,1938,40.93333,-79.73333,"(40.93333, -79.73333)"
Claxton,5374,Valid,L6,1455,Fell,1984,32.1025,-81.87278,"(32.1025, -81.87278)"
Coleman,5401,Valid,L6,469,Fell,1994,43.76111,-84.50778,"(43.76111, -84.50778)"
Cross Roads,5476,Valid,H5,167,Fell,1892,35.63333,-78.13333,"(35.63333, -78.13333)"
Crumlin,5477,Valid,L5,4255,Fell,1902,54.61667,-6.21667,"(54.61667, -6.21667)"
Daniel's Kuil,5513,Valid,EL6,1064,Fell,1868,-28.2,24.56667,"(-28.2, 24.56667)"
Deal,6634,Valid,L6,28,Fell,1829,40.25,-74,"(40.25, -74.0)"
Delhi,6642,Valid,L5,0.8,Fell,1897,28.56667,77.25,"(28.56667, 77.25)"
Doroninsk,7718,Valid,H5-7,3891,Fell,1805,51.2,112.3,"(51.2, 112.3)"
