volcano_number,volcano_name,eruption_number,vei,start_year,latitude,longitude,primary_volcano_type,last_eruption_year,elevation,tectonic_settings,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km
266030,Soputan,22293,3,2018,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,22105,3,2016,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,20988,3,2015,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,20821,3,2012,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,20820,3,2011,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16439,3,2008,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16438,3,2007,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16434,1,2006,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16433,1,2005,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16437,2,2005,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16436,3,2004,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16435,2,2000,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16432,2,1991,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16431,2,1989,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16430,2,1985,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16429,3,1984,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16428,3,1982,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16427,2,1973,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,16426,1,1971,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,13598,2,1970,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,13597,1,1968,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,13596,3,1966,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,13595,2,1953,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,13594,2,1947,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,13593,2,1923,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,13592,2,1917,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,13591,2,1915,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,13590,2,1913,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,13589,2,1911,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
266030,Soputan,13588,2,1910,1.112,124.737,Stratovolcano,2020,1785,Subduction zone / Continental crust (>25 km),4724,69991,501336,1696768
